feature_1,feature_2,feature_3,feature_4,feature_5,latitude,longitude,target,Category_A,Product_Type,Customer_Segment,Shipping_Method
54.96714153011233,3.875100297356544,117.15098229802427,35.0,438.0,-72.30506124155838,-6.369589178557618,44.40619155295613,Medium,Toys,Corporate,Overnight
48.61735698828815,1.0872081563858622,134.68022197880038,62.0,279.0,34.67099564101433,83.66243985977485,5.405507224935038,High,Electronics,Wholesale,Express
56.47688538100692,0.7451618132410088,197.01017643315612,17.0,186.0,73.35497505328956,65.3527265315978,1.96979084090308,High,Books,Retail,Overnight
,,,,,86.47327177710054,-164.0541395748799,3.525541247002121,,,,
47.65846625276664,8.743558237329687,128.25908325375323,34.0,421.0,56.437540779921335,-1.2070857709327072,230.8420535790036,Low,Clothing,Individual,Standard
47.6586304305082,0.5304448559556889,156.3941769644487,83.0,323.0,-41.72099654554714,7.6938930632368,3.78221323861256,Medium,Clothing,Wholesale,Overnight
65.79212815507391,4.108700007063417,140.43261228494788,61.0,147.0,-25.520357116032827,111.0926408883402,52.49061304738243,Medium,Toys,Corporate,Standard
57.67434729152909,13.991757791486732,148.996517632713,84.0,264.0,-65.38685233094492,166.38448271262786,601.2497534023697,High,Electronics,Corporate,Express
45.30525614065048,3.486333168336779,135.51661913907083,90.0,175.0,38.29420355999551,-75.8051331160998,31.337186339725367,Medium,Electronics,Corporate,Express
55.42560043585965,14.409958871683514,127.93310185303406,62.0,165.0,-59.53420761221871,-158.81384079816317,617.6407441602594,Medium,Clothing,Individual,Overnight
45.365823071875376,13.68324935492184,167.47630413914186,95.0,22.0,-12.246103614590794,-8.890480368995185,558.9585241875645,High,Clothing,Retail,Express
45.34270246429743,2.8213367018715827,177.85418150861176,10.0,485.0,5.716007278180015,-169.25488955348214,17.2648281044644,Medium,Furniture,Individual,Express
52.41962271566034,13.049805112632209,187.39571227473448,50.0,246.0,-21.144110590707143,-41.24916597113972,509.45118820028,High,Electronics,Individual,Overnight
30.86719755342202,13.774402279891955,115.5329967318188,72.0,264.0,-63.05471359101272,-81.62611609582041,564.4197733820238,Low,Furniture,Wholesale,Standard
,,,,,-37.83231992506027,-92.528924372849,77.39767237736179,,,,
50.952646269189614,2.3625473312124496,125.48008244770637,7.0,392.0,23.897706247207708,-179.4200315191255,17.111984833707243,Medium,Books,Retail,Standard
39.87168879665576,7.366202003024772,142.73363899100508,42.0,206.0,40.82825856121136,-89.77405014156007,156.25796969656747,Medium,Clothing,Wholesale,Overnight
53.142473325952736,25.433528929974106,190.14436858492468,57.0,184.0,20.634500560116862,-64.8297655147675,1944.4253398415256,Medium,Clothing,Corporate,Express
40.91975924478789,10.205871817176975,145.4503600982602,33.0,462.0,83.83536068536833,147.97308467743534,308.46865459663496,Low,Electronics,Corporate,Express
35.87696298664709,1.8985687326752063,119.70635340443162,54.0,284.0,20.45344658530911,-148.22746223959987,6.124167363811531,High,Toys,Corporate,Overnight
64.65648768921554,11.480869999970816,115.98686552371178,86.0,235.0,-49.43888392417985,96.11656734052582,397.6278731152192,Low,Furniture,Corporate,Overnight
47.74223699513465,5.572239484087359,147.29837666521337,99.0,242.0,-1.6104750489986517,80.9506486222599,93.14973946370095,Low,Electronics,Individual,Overnight
50.67528204687924,8.953338625289845,176.26724239765542,55.0,116.0,60.521287747126536,-62.54946642429377,240.4933215079659,High,Clothing,Wholesale,Standard
35.75251813786544,13.244997323508974,199.7205143974301,9.0,432.0,-31.35570755708642,146.51406420884678,521.3262829256219,Medium,Toys,Retail,Overnight
44.556172754748175,7.234978403577029,178.74086284309018,45.0,392.0,42.66553761919795,55.91195758490059,151.46942694591516,Medium,Books,Corporate,Express
51.10922589709866,16.81922450772323,187.70119589428532,38.0,201.0,51.3345474360635,-145.0807652773261,852.6467116259171,High,Books,Corporate,Express
38.490064225776976,12.80693959776796,174.7832360934888,19.0,360.0,78.11374017106309,-106.55509270971876,491.6843703488604,Medium,Furniture,Individual,Standard
53.75698018345672,9.547024563951275,189.54351007561056,96.0,418.0,-17.78843029039058,-35.59218640774199,274.582750100036,Low,Books,Retail,Standard
43.99361310081195,1.6345208926459995,107.62935433139133,98.0,316.0,-43.30363647807948,168.22588250245633,8.777943243830613,Low,Electronics,Retail,Overnight
,,,,,1.4306862275911527,-84.80831858748279,983.590458766173,,,,
43.98293387770603,27.47398053326451,139.6406153725656,62.0,123.0,88.86299534704281,-25.842750378066626,2264.1715320215744,Medium,Clothing,Wholesale,Express
,,,,,72.38339475590084,21.84191810750238,5.349500350698337,,,,
