feature_1,feature_2,feature_3,feature_4,feature_5,latitude,longitude,target
54.96714153011233,3.8751002973565436,117.15098229802427,35,438,-72.30506124155838,-6.369589178557618,44.40619155295613
48.61735698828815,1.0872081563858622,134.68022197880038,62,279,34.67099564101433,83.66243985977485,5.405507224935038
56.47688538100692,0.7451618132410088,197.01017643315615,17,186,73.35497505328956,65.3527265315978,1.9697908409030798
65.23029856408026,0.9902063071010299,178.07878459797925,97,65,86.47327177710054,-164.0541395748799,3.5255412470021215
47.658466252766644,8.743558237329687,128.25908325375323,34,421,56.437540779921335,-1.2070857709327072,230.84205357900362
47.6586304305082,0.5304448559556889,156.3941769644487,83,323,-41.72099654554714,7.6938930632368,3.7822132386125604
65.79212815507391,4.108700007063417,140.43261228494788,61,147,-25.520357116032827,111.09264088834021,52.49061304738243
57.67434729152909,13.991757791486732,148.996517632713,84,264,-65.38685233094492,166.38448271262786,601.2497534023697
45.30525614065048,3.486333168336779,135.51661913907085,90,175,38.29420355999551,-75.8051331160998,31.337186339725367
55.42560043585965,14.409958871683514,127.93310185303406,62,165,-59.53420761221871,-158.81384079816317,617.6407441602594
45.365823071875376,13.683249354921841,167.47630413914186,95,22,-12.246103614590794,-8.890480368995185,558.9585241875645
45.34270246429743,2.8213367018715827,177.85418150861176,10,485,5.716007278180015,-169.25488955348214,17.2648281044644
52.41962271566034,13.049805112632209,187.39571227473448,50,246,-21.144110590707143,-41.24916597113972,509.45118820027994
30.86719755342202,13.774402279891957,115.5329967318188,72,264,-63.054713591012714,-81.62611609582041,564.4197733820238
32.75082167486967,5.065911446192083,182.28555236452405,52,410,-37.83231992506027,-92.528924372849,77.39767237736179
,2.3625473312124496,125.48008244770635,7,392,23.897706247207708,-179.4200315191255,17.111984833707243
39.87168879665576,7.366202003024772,142.73363899100508,42,206,40.828258561211356,-89.77405014156007,156.25796969656747
53.142473325952736,25.433528929974102,190.14436858492468,57,184,20.634500560116862,-64.8297655147675,1944.4253398415258
40.91975924478789,10.205871817176977,145.4503600982602,33,462,83.83536068536833,147.97308467743534,308.46865459663496
35.87696298664709,1.8985687326752063,119.70635340443162,54,284,20.45344658530911,-148.22746223959987,6.124167363811531
64.65648768921554,11.480869999970817,115.98686552371178,86,235,-49.43888392417985,96.11656734052582,397.6278731152192
47.74223699513465,5.572239484087359,147.29837666521337,99,242,-1.6104750489986515,80.9506486222599,93.14973946370097
50.67528204687924,8.953338625289845,176.26724239765542,55,116,60.521287747126536,-62.54946642429377,240.4933215079659
35.75251813786544,13.244997323508974,199.72051439743012,9,432,-31.35570755708642,146.51406420884678,521.3262829256219
44.556172754748175,7.2349784035770295,178.74086284309018,45,392,42.66553761919795,55.91195758490059,151.46942694591516
51.10922589709866,16.81922450772323,187.70119589428535,38,201,51.3345474360635,-145.08076527732607,852.6467116259171
38.490064225776976,12.806939597767961,174.7832360934888,19,360,78.11374017106309,-106.55509270971876,491.6843703488604
53.75698018345672,9.547024563951275,189.54351007561058,96,418,-17.78843029039058,-35.59218640774199,274.582750100036
43.99361310081195,1.6345208926459995,107.62935433139133,98,316,-43.303636478079476,168.22588250245633,8.777943243830613
47.083062502067236,18.0757859997111,192.99315989816455,44,202,1.4306862275911527,-84.80831858748279,983.590458766173
43.98293387770603,27.47398053326451,139.6406153725656,62,123,88.86299534704281,-25.842750378066626,2264.1715320215744
68.52278184508938,1.47300175979818,192.16142232804447,13,223,72.38339475590084,21.84191810750238,5.349500350698337
49.86502775262066,6.699017208018714,107.57328374594755,86,431,-38.88808853661629,-52.014099800366964,138.21617154604866
